table_code;table_name;domain_subdomain;domain;subdomain
nu2047qs;Hours worked of employed persons (ESA 2010) by branches of NACE Rev. 2;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu2051qs;Seasonally adjustment of GDP resources at current prices - quarterly data;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu2052qs;Seasonally adjustment of GDP resources at chain-linked volumes - quarterly;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu2054qs;Disposable income at current prices;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu2058qs;Export and import goods and services at current prices;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu2062rs;Gross fixed assets by economic activities (NACE Rev. 2) at replacement prices;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu2063qs;Generation and use of income in sector of households at current prices - quarterly data - seasonally adjusted;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu3001rr;Regional gross domestic product (in current prices);Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu3002rr;Regional gross domestic product per capita (at current prices);Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu3003rr;Regional employment and employees;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu3005rr;Allocation of primary income account of households;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu3006rr;Allocation of secundary income account of households;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu3007rr;Gross value added;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu3008rr;Gross fixed capital formation;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu3801rr;Regional labour productivity at current prices according to NACE Rev.2 - annually;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu3802rr;Regional labour productivity at chain-linked volumes (the same period of the previous year=100) - annually;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu3803rr;Regional Gross Domestic Product at constant prices chain - linked volumes with reference year 2015;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
ob0002ms;Sale and repair of motor vehicles (Turnover);Sector statistics - Trade and food services;Sector statistics;Trade and food services
ob0003ms;Wholesale trade except of motor vehicles (Turnover);Sector statistics - Trade and food services;Sector statistics;Trade and food services
ob0004ms;Retail trade except of motor vehicles (Turnover);Sector statistics - Trade and food services;Sector statistics;Trade and food services
ob0005ms;Accommodation (Turnover);Sector statistics - Trade and food services;Sector statistics;Trade and food services
ob0006ms;Food and beverage service activities (Turnover);Sector statistics - Trade and food services;Sector statistics;Trade and food services
ob1004qs;Receips of own output and goods in retail trade, hotels and restaurants - quarterly;Sector statistics - Trade and food services;Sector statistics;Trade and food services
ob1801ms;Specific retail trade structures - monthly;Sector statistics - Trade and food services;Sector statistics;Trade and food services
ob1802ms;Turnover on Internal Trade, Accommodation and Food Service Activities by SK NACE Rev. 2;Sector statistics - Trade and food services;Sector statistics;Trade and food services
ob1803ms;Average of nominal wages of employee at retail trade and hotels and restaurants - monthly;Sector statistics - Trade and food services;Sector statistics;Trade and food services
ob2009ms;Receips of own output and goods in retail trade, hotels and restaurants - monthly data;Sector statistics - Trade and food services;Sector statistics;Trade and food services
od0007ms;Indices of employment in selected branches - monthly;Sector statistics - Cross-sectional statistics;Sector statistics;Cross-sectional statistics
od0008ms;Average monthly wages in selected branches - monthly;Sector statistics - Cross-sectional statistics;Sector statistics;Cross-sectional statistics
od0009ms;Indices of average nominal monthly wages in selected branches - monthly;Sector statistics - Cross-sectional statistics;Sector statistics;Cross-sectional statistics
od0010ms;Indices of real monthly wages in selected branches - monthly;Sector statistics - Cross-sectional statistics;Sector statistics;Cross-sectional statistics
od0011ms;Indices of turnover in selected sectors of economy - monthly;Sector statistics - Cross-sectional statistics;Sector statistics;Cross-sectional statistics
og1001rs;Institutional units by ESA95 and economic activities of Dececember 31,;Business statistics - Business statistics;Business statistics;Business statistics
og1002rs;Legal units by legal form and economic activities of December 31,;Business statistics - Business statistics;Business statistics;Business statistics
og1003rs;Legal units by legal form ad size category by employees as of December 31,;Business statistics - Business statistics;Business statistics;Business statistics
og1004rs;Institutional units by ESA95 and size category by employees as of December 31,;Business statistics - Business statistics;Business statistics;Business statistics
og1005rs;Institutional units by ESA 2010 and economic activities as of Dececember 31,;Business statistics - Business statistics;Business statistics;Business statistics
og1006rs;Legal units in the BR by legal form and economic activities of December 31,;Business statistics - Business statistics;Business statistics;Business statistics
og1007rs;Legal units in the BR by legal form ad size category by employees as of December 31,;Business statistics - Business statistics;Business statistics;Business statistics
og1008rs;Institutional units in the BR by ESA2010 and size category by employees as of December 31,;Business statistics - Business statistics;Business statistics;Business statistics
og1803rs;Enterprises deaths in the Slovak Republic by NACE Rev. 2 and size category number of employees;Business statistics - Business statistics;Business statistics;Business statistics
og2019qs;Economic subjects by legal forms;Business statistics - Business statistics;Business statistics;Business statistics
og2021qs;Economic subjects by legal forms and economic activities (NACE Rev. 2);Business statistics - Business statistics;Business statistics;Business statistics
og3001rr;Enterprises by the number of employees;Business statistics - Business statistics;Business statistics;Business statistics
og3002rr;Self-employed persons by selected economic activities (NACE Rev. 2);Business statistics - Business statistics;Business statistics;Business statistics
og3003rr;Enterprises by selected forms of ownership;Business statistics - Business statistics;Business statistics;Business statistics
og3004rr;Natural persons - entrepreneurs by legal forms;Business statistics - Business statistics;Business statistics;Business statistics
og3005rr;Enterprises by economic activities (NACE Rev. 2);Business statistics - Business statistics;Business statistics;Business statistics
og3006rr;Legal persons by selected legal forms;Business statistics - Business statistics;Business statistics;Business statistics
og3007rr;Natural persons - entrepreneurs by legal forms in Municipalities;Business statistics - Business statistics;Business statistics;Business statistics
og3008rr;Legal persons in municipalities;Business statistics - Business statistics;Business statistics;Business statistics
og3009rr;Enterprises in the BR by the number of employees;Business statistics - Business statistics;Business statistics;Business statistics
og3010rr;Natural persons - entrepreneurs in the BR by legal forms;Business statistics - Business statistics;Business statistics;Business statistics
og3011rr;Natural persons - entrepreneurs in the BR by legal forms in Municipalities;Business statistics - Business statistics;Business statistics;Business statistics
om2009rs;Characteristics of population development;Demographic and social statistics - Population and migration;Demographic and social statistics;Population and migration
om2017rs;Population by marital status, sex and five-year age groups;Demographic and social statistics - Population and migration;Demographic and social statistics;Population and migration
om2019rs;Population;Demographic and social statistics - Population and migration;Demographic and social statistics;Population and migration
om2020rs;Life expectancy for 5-year age-groups by sex;Demographic and social statistics - Population and migration;Demographic and social statistics;Population and migration
om2021rs;Life expectancy for single years of age by sex;Demographic and social statistics - Population and migration;Demographic and social statistics;Population and migration
om2024rs;Population Age status of the Slovak Republic by sex and age;Demographic and social statistics - Population and migration;Demographic and social statistics;Population and migration
om2801ms;Selected indicators of the population change of the SR;Demographic and social statistics - Population and migration;Demographic and social statistics;Population and migration
om3003tr;Deaths by Age Groups and Sex - SR-Area-Reg (weekly);Demographic and social statistics - Population and migration;Demographic and social statistics;Population and migration
om3401rr;3.2.1 Under-five mortality rate;Indicators - Global indicators of Agenda 2030;Indicators;Global indicators of Agenda 2030
om3402rr;3.2.2 Neonatal mortality rate;Indicators - Global indicators of Agenda 2030;Indicators;Global indicators of Agenda 2030
om3405rr;3.1.1 Maternal mortality ratio;Indicators - Global indicators of Agenda 2030;Indicators;Global indicators of Agenda 2030
om3406rr;3.7.2 Adolescent birth rate (aged 10–14 years, aged 15–19 years) per 1,000 women in that age group;Indicators - Global indicators of Agenda 2030;Indicators;Global indicators of Agenda 2030
om3701rr;Population on the 1st of January - cities;Selected tables of Eurostat database - City statistics;Selected tables of Eurostat database;City statistics
om3703rr;Selected age indicators on the 1st of January - Cities;Selected tables of Eurostat database - City statistics;Selected tables of Eurostat database;City statistics
om3705rr;Population by citizenship and country of birth - cities;Selected tables of Eurostat database - City statistics;Selected tables of Eurostat database;City statistics
om3707rr;Selected indicators of change of population - cities;Selected tables of Eurostat database - City statistics;Selected tables of Eurostat database;City statistics
om3801mr;Deaths by Month of Death, Age, Sex and Causes of Death - SR-Area-Reg (monthly);Demographic and social statistics - Population and migration;Demographic and social statistics;Population and migration
om3802rr;Life expectancy at birth;Demographic and social statistics - Population and migration;Demographic and social statistics;Population and migration
om3803rr;Fertility rates by age and NUTS 2 region;;Not Specified;Not Specified
om3804rr;Life expectancy by sex, age and NUTS 2 region;;Not Specified;Not Specified
om7001rr;Dem. Bal. by Coun. of Bir. and Sex-SR-Area-Reg-Dis,U-R;Demographic and social statistics - Population and migration;Demographic and social statistics;Population and migration
om7002rr;Demographic Balance by Nationality and Sex - SR-Area-Reg-District, U-R;Demographic and social statistics - Population and migration;Demographic and social statistics;Population and migration
om7004rr;Demographic Balance by Marital Status, Sex and Age - SR, Areas, Regions;Demographic and social statistics - Population and migration;Demographic and social statistics;Population and migration
om7005rr;Indices of the Age Structure - SR-Area-Reg-District, U-R;Demographic and social statistics - Population and migration;Demographic and social statistics;Population and migration
om7006rr;Age Groups - Municipalities;Demographic and social statistics - Population and migration;Demographic and social statistics;Population and migration
om7007rr;Age Groups - SR-Area-Reg-District, U-R;Demographic and social statistics - Population and migration;Demographic and social statistics;Population and migration
om7008rr;Age Structure - Municipalities;Demographic and social statistics - Population and migration;Demographic and social statistics;Population and migration
om7009rr;Age Structure - SR-Area-Reg-District, U-R;Demographic and social statistics - Population and migration;Demographic and social statistics;Population and migration
om7010rr;Stock and Change of the Population - Municipalities;Demographic and social statistics - Population and migration;Demographic and social statistics;Population and migration
om7011rr;Stock and Change of the Population-SR-Area-Reg-District, U-R;Demographic and social statistics - Population and migration;Demographic and social statistics;Population and migration
om7012rr;Stock and Change of the Population by Sex - Municipalities;Demographic and social statistics - Population and migration;Demographic and social statistics;Population and migration
om7013rr;Stock and Change of the Populat. by Sex-SR-Area-Reg-Dist,U-R;Demographic and social statistics - Population and migration;Demographic and social statistics;Population and migration
om7014rr;Population Density - Municipalities;Demographic and social statistics - Population and migration;Demographic and social statistics;Population and migration
om7015rr;Population Density - SR-Area-Reg-District, U-R;Demographic and social statistics - Population and migration;Demographic and social statistics;Population and migration
om7017rr;Births by Sex, Birth Weight, Legitimacy and Vitality - SR-Area-Reg-District, U-R;Demographic and social statistics - Population and migration;Demographic and social statistics;Population and migration
om7023rr;Size Groups of Municipalities - SR-Area-Reg-District, U-R;Demographic and social statistics - Population and migration;Demographic and social statistics;Population and migration
om7025rr;Marriages by Age and Permanent Residence of Men and Women - SR-Area-Reg-District, U-R;Demographic and social statistics - Population and migration;Demographic and social statistics;Population and migration
om7031rr;Mean Ages of Mother at Birth - SR-Area-Reg-District, U-R;Demographic and social statistics - Population and migration;Demographic and social statistics;Population and migration
om7034rr;Deaths by Age and Sex - SR-Area-Reg-District, U-R;Demographic and social statistics - Population and migration;Demographic and social statistics;Population and migration
om7035rr;Deaths by Causes of Death, Sex and Permanent Residence - SR-Area-Reg-District, U-R;Demographic and social statistics - Population and migration;Demographic and social statistics;Population and migration
om7036rr;Deaths by Causes of Death Age and Sex - SR-Reg-District;Demographic and social statistics - Population and migration;Demographic and social statistics;Population and migration
om7038rr;Mean Age of Death by Sex - SR-Area-Reg-District, U-R;Demographic and social statistics - Population and migration;Demographic and social statistics;Population and migration
om7052rr;Indices of the Age Structure - Municipalities;Demographic and social statistics - Population and migration;Demographic and social statistics;Population and migration
om7054rr;Demographic Balance by Education, Sex and Age Groups - SR-Area-Region-District, U-R;Demographic and social statistics - Population and migration;Demographic and social statistics;Population and migration
om7055rr;Demographic Balance by Education, Sex and Age - SR-Area-Region-District, U-R;Demographic and social statistics - Population and migration;Demographic and social statistics;Population and migration
om7056rs;Population by sex, age, country of birth and human development index - yearly;Demographic and social statistics - Population and migration;Demographic and social statistics;Population and migration
om7057rs;Population by sex, age, citizenship and human development index - yearly;Demographic and social statistics - Population and migration;Demographic and social statistics;Population and migration
om7101qr;Number of the Population by Sex - Municipalities (quarterly);Demographic and social statistics - Population and migration;Demographic and social statistics;Population and migration
om7101rr;Number of the Population by Sex - Municipalities (yearly);Demographic and social statistics - Population and migration;Demographic and social statistics;Population and migration
om7102rr;Number of the Population by Sex - SR-Area-Reg-District, U-R (yearly);Demographic and social statistics - Population and migration;Demographic and social statistics;Population and migration
om7103mr;Population Change - Municipalities (monthly);Demographic and social statistics - Population and migration;Demographic and social statistics;Population and migration
om7103rr;Population Change - Municipalities (yearly);Demographic and social statistics - Population and migration;Demographic and social statistics;Population and migration
om7104mr;Population Change - SR-Area-Reg-District, U-R (monthly);Demographic and social statistics - Population and migration;Demographic and social statistics;Population and migration
om7104qr;Population Change - SR-Area-Reg-District, U-R (quarterly);Demographic and social statistics - Population and migration;Demographic and social statistics;Population and migration
om7104rr;Population Change - SR-Area-Reg-District, U-R (yearly);Demographic and social statistics - Population and migration;Demographic and social statistics;Population and migration
om7105rr;Increase of the Population by Sex - Municipalities (yearly);Demographic and social statistics - Population and migration;Demographic and social statistics;Population and migration
om7106mr;Increase of the Population by Sex - SR-Area-Reg-District, U-R (monthly);Demographic and social statistics - Population and migration;Demographic and social statistics;Population and migration
pl2003rs;Yields of selected agricultural crops;Sector statistics - Agriculture, forestry, fisheries;Sector statistics;Agriculture, forestry, fisheries
pl2004rs;Use of land;Sector statistics - Agriculture, forestry, fisheries;Sector statistics;Agriculture, forestry, fisheries
pl2010rs;Logging and timber deliveries;Sector statistics - Agriculture, forestry, fisheries;Sector statistics;Agriculture, forestry, fisheries
pl2015rs;Reproduction, production and liverstock yields;Sector statistics - Agriculture, forestry, fisheries;Sector statistics;Agriculture, forestry, fisheries
pl2016rs;Livestock as of December, 31th;Sector statistics - Agriculture, forestry, fisheries;Sector statistics;Agriculture, forestry, fisheries
pl2018rs;Gross vegetable production by commodities;Sector statistics - Agriculture, forestry, fisheries;Sector statistics;Agriculture, forestry, fisheries
pl2020rs;Catches in inland waters;Sector statistics - Agriculture, forestry, fisheries;Sector statistics;Agriculture, forestry, fisheries
pl2022rs;Consumption of plant protection agents;Sector statistics - Agriculture, forestry, fisheries;Sector statistics;Agriculture, forestry, fisheries
pl3001rr;Hectare yields of selected agricultural crops;Sector statistics - Agriculture, forestry, fisheries;Sector statistics;Agriculture, forestry, fisheries
pl3004rr;Intensity of breeding livestock;Sector statistics - Agriculture, forestry, fisheries;Sector statistics;Agriculture, forestry, fisheries
pl3005rr;Gross agricultural production from gross turnover;Sector statistics - Agriculture, forestry, fisheries;Sector statistics;Agriculture, forestry, fisheries
pl3006rr;Receipts from sales of farming products from primary production;Sector statistics - Agriculture, forestry, fisheries;Sector statistics;Agriculture, forestry, fisheries
pl5001rr;Surface area, land use;Sector statistics - Agriculture, forestry, fisheries;Sector statistics;Agriculture, forestry, fisheries
pm0038ms;Turnover in industry according to NACE Rev. 2 (year-on-year index) - monthly;Sector statistics - Industry;Sector statistics;Industry
pm0039ms;Industrial production - development by share of individual sectors - monthly;Sector statistics - Industry;Sector statistics;Industry
pm0040ms;Industrial production (basic index, adjusted) - monthly;Sector statistics - Industry;Sector statistics;Industry
pm0041ms;Industrial production (basic index, not adjusted) - monthly;Sector statistics - Industry;Sector statistics;Industry
pm0042ms;Industrial production (year-on-year index, adjusted) - monthly;Sector statistics - Industry;Sector statistics;Industry
pm0043ms;Industrial production (year-on-year index, not adjusted) - monthly;Sector statistics - Industry;Sector statistics;Industry
pm0045ms;Employment indices in industry according to NACE Rev. 2 (basic index) - monthly;Sector statistics - Industry;Sector statistics;Industry
pm0046ms;Average nominal monthly wage indices in industry according to NACE Rev. 2 (basic index) - monthly;Sector statistics - Industry;Sector statistics;Industry
pm0047ms;Hours worked indicesin industry according to NACE Rev. 2 (basic index) - monthly;Sector statistics - Industry;Sector statistics;Industry
pm0048ms;Industrial producers prices indices domestic according to NACE Rev. 2 (basic index) - monthly;Sector statistics - Industry;Sector statistics;Industry
pm0049ms;Turnover indices in industry according to NACE Rev. 2 (basic index) - monthly;Sector statistics - Industry;Sector statistics;Industry
pm0050ms;Turnover indices domestic market in industry according to NACE Rev. 2 (basic index) - monthly;Sector statistics - Industry;Sector statistics;Industry
pm0051ms;Turnover indices non-domestic market in industry according to NACE Rev. 2 (basic index) - monthly;Sector statistics - Industry;Sector statistics;Industry
pm0052ms;Turnover indices non-domestic market Euro area in industry according to NACE Rev. 2 (basic index) - monthly;Sector statistics - Industry;Sector statistics;Industry
pm0053ms;Turnover indices non-domestic market Non Euro area in industry according to NACE Rev. 2 (basic index) - monthly;Sector statistics - Industry;Sector statistics;Industry
pm0054ms;New orders received indices total in industry according to NACE Rev. 2 (basic index) - monthly;Sector statistics - Industry;Sector statistics;Industry
pm0055ms;New orders received indices domestic market in industry according to NACE Rev. 2 (basic index) - monthly;Sector statistics - Industry;Sector statistics;Industry
pm0056ms;New orders received indices non-domestic market in industry according to NACE Rev. 2 (basic index) - monthly;Sector statistics - Industry;Sector statistics;Industry
pm0057ms;New orders received indices non-domestic market Euro area in industry according to NACE Rev. 2 (basic index) - monthly;Sector statistics - Industry;Sector statistics;Industry
pm0058ms;New orders received indices non-domestic market Non Euro area in industry according to NACE Rev. 2 (basic index) - monthly;Sector statistics - Industry;Sector statistics;Industry
pm0059ms;New orders in industry according to NACE Rev. 2 - monthly;Sector statistics - Industry;Sector statistics;Industry
pm1001rs;Selected indicators of industry enterprises according to NACE Rev. 2 - yearly;Sector statistics - Industry;Sector statistics;Industry
pm1002rs;Employees, wage and labour productivity for enterprises with more than 20 employees according to NACE Rev. 2 - yearly;Sector statistics - Industry;Sector statistics;Industry
pm1003rs;Selected financial indicators for enterprises with more than 20 employees according to NACE Rev. 2 - yearly;Sector statistics - Industry;Sector statistics;Industry
pm1004rs;Selected indicators of industrial establishments for enterprises with more than 20 employees according NACE Rev. 2 - yearly;Sector statistics - Industry;Sector statistics;Industry
pm1005qs;Average wages of employees in industry according to NACE Rev. 2 - quarterly;Sector statistics - Industry;Sector statistics;Industry
pm1008qs;Turnover in industry according to NACE Rev. 2 - quarterly;Sector statistics - Industry;Sector statistics;Industry
pm2015ms;Industrial Production by sections and special aggregates of the industrial branches of NACE Rev. 2 classification - monthly data;;Not Specified;Not Specified
pm2016rs;Industrial production according to MIG - yearly;Sector statistics - Industry;Sector statistics;Industry
pm2914rs;Production and sale of selected industrial goods according to Prodslov in the year 2018;Sector statistics - Industry;Sector statistics;Industry
pm2917rs;Production and sale of selected industrial goods according to Prodslov in the year 2021;Sector statistics - Industry;Sector statistics;Industry
pm2918rs;Production and sale of selected industrial goods according to Prodslov in the year 2022;Sector statistics - Industry;Sector statistics;Industry
pm2919rs;Production under sub-contracted operations according to Prodslov in the year 2021;Sector statistics - Industry;Sector statistics;Industry
pm2920rs;Production under sub-contracted operations according to Prodslov in the year 2022;Sector statistics - Industry;Sector statistics;Industry
pm3001rr;Basic indicators of industry statistics - yearly;Sector statistics - Industry;Sector statistics;Industry
po3801rr;Selected indicators of posts;Sector statistics - Transport and postal services;Sector statistics;Transport and postal services
pr0002qs;Employed by the Labour Force Sample Survey (since 2021);Demographic and social statistics - Labour;Demographic and social statistics;Labour
pr0101qs;Unemployment by the Labour Force Sample Survey (since 2021);Demographic and social statistics - Labour;Demographic and social statistics;Labour
pr0203ms;Indices of real monthly wages in selected branches by months;Demographic and social statistics - Labour cost;Demographic and social statistics;Labour cost
pr0204qs;Average monthly wages in economy of the SR;Demographic and social statistics - Labour cost;Demographic and social statistics;Labour cost
pr0205qs;Average monthly wages by branches;Demographic and social statistics - Labour cost;Demographic and social statistics;Labour cost
pr0901qs;Unemployment by the Labour Force Sample Survey (until 2020);Demographic and social statistics - Labour;Demographic and social statistics;Labour
pr0902qs;Employed by the Labour Force Sample Survey (until 2020);Demographic and social statistics - Labour;Demographic and social statistics;Labour
pr1101rs;Employees in enterprises with 20 and more employees by economic activity;Demographic and social statistics - Labour;Demographic and social statistics;Labour
pr1801qs;Employment rate by age, education and sex - quarterly (since 2021);Demographic and social statistics - Labour;Demographic and social statistics;Labour
pr1802qs;Unemployment rate and long-term unemployment rate by age, education and sex - quarterly (since 2021);Demographic and social statistics - Labour;Demographic and social statistics;Labour
pr1803rs;Potential labour force by age and sex - yearly (since 2021);Demographic and social statistics - Labour;Demographic and social statistics;Labour
pr2003qs;Job Vacancies by economic activities (SK NACE Rev.2), Indices and Job Vacancy Rate - quarterly data;Demographic and social statistics - Labour;Demographic and social statistics;Labour
pr2007qs;Economically active population by sex - quarterly data (since 2021);Demographic and social statistics - Labour;Demographic and social statistics;Labour
pr2009qs;Economically active population by age and sex - quarterly data (since 2021);Demographic and social statistics - Labour;Demographic and social statistics;Labour
pr2011qs;Economically active popupation by education and sex - quarterly data (since 2021);Demographic and social statistics - Labour;Demographic and social statistics;Labour
pr2015qs;Unemployment rate by age and sex - quarterly data (since 2021);Demographic and social statistics - Labour;Demographic and social statistics;Labour
pr2016rs;Unemployment rate by education and sex - yearly data;Demographic and social statistics - Labour;Demographic and social statistics;Labour
pr2017qs;Unemployment rate by education and sex - quarterly data (since 2021);Demographic and social statistics - Labour;Demographic and social statistics;Labour
pr2018rs;Employment rate by age and sex - yearly data;Demographic and social statistics - Labour;Demographic and social statistics;Labour
pr2019qs;Employment rate by age and sex - quarterly data (since 2021);Demographic and social statistics - Labour;Demographic and social statistics;Labour
pr2022rs;Unemployed by duration of unemployment and sex - yearly data;Demographic and social statistics - Labour;Demographic and social statistics;Labour
pr2023qs;Unemployed by duration of unemployment and sex - quarterly data (since 2021);Demographic and social statistics - Labour;Demographic and social statistics;Labour
pr2025qs;Unemployed by economic activity (NACE Rev. 2) of the last occupation and sex - quarterly data (since 2021) pr2025qs];Demographic and social statistics - Labour;Demographic and social statistics;Labour
pr2033qs;Unemployed by education and sex - quarterly data (since 2021);Demographic and social statistics - Labour;Demographic and social statistics;Labour
pr2034rs;Employed by economic activity (NACE Rev. 2) and sex - yearly data;Demographic and social statistics - Labour;Demographic and social statistics;Labour
pr2035qs;Employed by economic activity (NACE Rev. 2) and sex - quarterly data (since 2021);Demographic and social statistics - Labour;Demographic and social statistics;Labour
pr2038rs;Employed by Classification of occupation (ISCO-08) and sex - yearly data;Demographic and social statistics - Labour;Demographic and social statistics;Labour
pr2039qs;Employed by Classification of occupation (ISCO-08) and sex - quarterly data (since 2021);Demographic and social statistics - Labour;Demographic and social statistics;Labour
pr2041qs;Employed by status in employment and sex - quarterly data (since 2021);Demographic and social statistics - Labour;Demographic and social statistics;Labour
pr2043qs;Employed by age and sex - quarterly data (since 2021);Demographic and social statistics - Labour;Demographic and social statistics;Labour
pr2047qs;Employees by economic activity (NACE Rev. 2) and sex - quarterly data (since 2021);Demographic and social statistics - Labour;Demographic and social statistics;Labour
pr2049qs;Employees by working time and sex - quarterly data (since 2021);Demographic and social statistics - Labour;Demographic and social statistics;Labour
pr2801qs;Employment rate by age and sex - quarterly data (until 2020);Demographic and social statistics - Labour;Demographic and social statistics;Labour
pr2803qs;Employed by economic activity (NACE Rev. 2) and sex - quarterly data (until 2020);Demographic and social statistics - Labour;Demographic and social statistics;Labour
pr2805qs;Employed by status in employment and sex - quarterly data (until 2020);Demographic and social statistics - Labour;Demographic and social statistics;Labour
pr2806qs;Employed by age and sex - quarterly data (until 2020);Demographic and social statistics - Labour;Demographic and social statistics;Labour
pr2808qs;Employees by economic activity (NACE Rev. 2) and sex - quarterly data (until 2020);Demographic and social statistics - Labour;Demographic and social statistics;Labour
pr2809qs;Employees by working time and sex - quarterly data (until 2020);Demographic and social statistics - Labour;Demographic and social statistics;Labour
pr2810qs;Unemployment rate by age and sex - quarterly data (until 2020);Demographic and social statistics - Labour;Demographic and social statistics;Labour
pr2811qs;Unemployment rate by education and sex - quarterly data (until 2020);Demographic and social statistics - Labour;Demographic and social statistics;Labour
pr2812qs;Unemployed by duration of unemployment and sex - quarterly data (until 2020);Demographic and social statistics - Labour;Demographic and social statistics;Labour
pr2813qs;Unemployed by economic activity (NACE Rev. 2) of the last occupation and sex - quarterly data (until 2020);Demographic and social statistics - Labour;Demographic and social statistics;Labour
pr2816qs;Unemployed by education and sex - quarterly data (until 2020);Demographic and social statistics - Labour;Demographic and social statistics;Labour
pr2817qs;Economically active population by sex - quarterly data (until 2020);Demographic and social statistics - Labour;Demographic and social statistics;Labour
pr2818qs;Economically active population by age and sex - quarterly data (until 2020);Demographic and social statistics - Labour;Demographic and social statistics;Labour
pr2819qs;Economically active popupation by education and sex - quarterly data (until 2020);Demographic and social statistics - Labour;Demographic and social statistics;Labour
pr3102qr;Balance of economic activity of population (since 2021);Demographic and social statistics - Labour;Demographic and social statistics;Labour
pr3103qr;Economically active population by education (since 2021);Demographic and social statistics - Labour;Demographic and social statistics;Labour
pr3104qr;Economically active population by age (since 2021);Demographic and social statistics - Labour;Demographic and social statistics;Labour
pr3108rr;Registered unemployment rate;Demographic and social statistics - Labour;Demographic and social statistics;Labour
pr3112qr;Employed persons in the economy of the SR;Demographic and social statistics - Labour;Demographic and social statistics;Labour
pr3113rr;Employees by economic activity collected through workplace method;Demographic and social statistics - Labour;Demographic and social statistics;Labour
pr3115qr;Employed by age (since 2021);Demographic and social statistics - Labour;Demographic and social statistics;Labour
pr3116qr;Employed by education (since 2021);Demographic and social statistics - Labour;Demographic and social statistics;Labour
pr3117qr;Unemployed by age (since 2021);Demographic and social statistics - Labour;Demographic and social statistics;Labour
pr3118qr;Unemployed by education (since 2021);Demographic and social statistics - Labour;Demographic and social statistics;Labour
pr3802qr;Balance of economic activity of population (until 2020);Demographic and social statistics - Labour;Demographic and social statistics;Labour
pr3803qr;Economically active population by education (until 2020);Demographic and social statistics - Labour;Demographic and social statistics;Labour
pr3804qr;Economically active population by age (until 2020);Demographic and social statistics - Labour;Demographic and social statistics;Labour
pr3815qr;Employed by age (until 2020);Demographic and social statistics - Labour;Demographic and social statistics;Labour
pr3817qr;Unemployed by age (until 2020);Demographic and social statistics - Labour;Demographic and social statistics;Labour
pr3818qr;Unemployed by education (until 2020);Demographic and social statistics - Labour;Demographic and social statistics;Labour
pr3819rr;Employment rate and percentage of part-time job by age, education and sex - yearly (since 2021);Demographic and social statistics - Labour;Demographic and social statistics;Labour
pr3820rr;Unemployment rate and long-term unemployment rate by age, education and sex - yearly (since 2021);Demographic and social statistics - Labour;Demographic and social statistics;Labour
pr5001rr;Number of registered job applicants;Demographic and social statistics - Labour;Demographic and social statistics;Labour
ps1002rs;At-risk-of-poverty-rate or social exclusion by age groups and sex;Demographic and social statistics - Income, expenses and living conditions;Demographic and social statistics;Income, expenses and living conditions
ps1003rs;At-risk-of-poverty or social exclusion by economic activity (from 18 years old and more);Demographic and social statistics - Income, expenses and living conditions;Demographic and social statistics;Income, expenses and living conditions
ps1004rs;At-risk-of-poverty rate or social exclusion broke down by income quintile;Demographic and social statistics - Income, expenses and living conditions;Demographic and social statistics;Income, expenses and living conditions
ps1005rs;At-risk-of-poverty rate or social exclusion broke down by the highest education achieved (from 18 years old and more);Demographic and social statistics - Income, expenses and living conditions;Demographic and social statistics;Income, expenses and living conditions
ps1006rs;At-risk-of-poverty rate or social exclusion by citizenship (population aged 18 and over);Demographic and social statistics - Income, expenses and living conditions;Demographic and social statistics;Income, expenses and living conditions
ps1007rs;At-risk-of-poverty rate or social exclusion by country of birth (population aged 18 and over);Demographic and social statistics - Income, expenses and living conditions;Demographic and social statistics;Income, expenses and living conditions
ps1008rs;At-risk-of-poverty-rate by age groups and sex;Demographic and social statistics - Income, expenses and living conditions;Demographic and social statistics;Income, expenses and living conditions
ps1009rs;At-risk-of-poverty rate broken down by most frequent economic activity status and sex (population aged 18 and over);Demographic and social statistics - Income, expenses and living conditions;Demographic and social statistics;Income, expenses and living conditions
ps1010rs;At-risk-of-poverty rate by poverty threshold and educational attainment level (population aged 18 and over);Demographic and social statistics - Income, expenses and living conditions;Demographic and social statistics;Income, expenses and living conditions
